局----------------------  実行情報  ----------------------
実行時間＝3668秒
個体数＝1050
合計世代数＝100
==============================
Total cost: -4244126.539594498
==============================
------------------------  前提  ------------------------

waste=sanpai

ごみ量31位以内：
苫小牧市 (2039382), 釧路市 (1177668), 札幌市 (728360), 室蘭市 (677679), 登別市 (430316), 伊達市 (334124), 帯広市 (182218), 旭川市 (138210), 函館市 (133081), 釧路町 (121597), 白老町 (99038), 北見市 (91496), 小樽市 (91037), 千歳市 (69923), 江別市 (64214), 安平町 (60328), 洞爺湖町 (54767), 厚岸町 (49048), 岩見沢市 (47176), 稚内市 (46228), 音更町 (44302), 標茶町 (43861), むかわ町 (42881), 厚真町 (42445), 北斗市 (42381), 弟子屈町 (39869), 恵庭市 (36267), 豊浦町 (36146), 中標津町 (35109), 浜中町 (33093), 北広島市 (30922)

焼却施設数: 8
中継施設数: 13

輸送単価＝ 4.8 円/t/km
--------------------  GAPlot_input  --------------------

waste_name ='sanpai'
unit ='t/year'

inc_size= [2388591, 1604659, 1107995, 1090522, 750794, 584354, 337550, 3827]
inc_facility = ['苫小牧市', '釧路市', '室蘭市', '札幌市', '伊達市', '旭川市', '帯広市', '浦幌町']
inc_blocks = [['夕張市', '岩見沢市', '三笠市', '南幌町', '由仁町', '長沼町', '栗山町', '月形町', '札幌市', '江別市', '恵庭市', '北広島市', '石狩市', '当別町', '新篠津村'], ['室蘭市'], ['千歳市', '苫小牧市', '白老町', '厚真町', '安平町', 'むかわ町', '日高町', '平取町', '新冠町', '新ひだか町'], ['島牧村', '寿都町', '黒松内町', '蘭越町', 'ニセコ町', '真狩村', '留寿都村', '喜茂別町', '京極町', '俱知安町', '伊達市', '豊浦町', '壮瞥町', '洞爺湖町', '八雲町', '長万部町', '今金町', 'せたな町'], ['芦別市', '深川市', '秩父別町', '沼田町', '旭川市', '士別市', '名寄市', '富良野市', '鷹栖町', '東神楽町', '当麻町', '比布町', '愛別町', '上川町', '東川町', '美瑛町', '上富良野町', '中富良野町', '和寒町', '剣淵町', '下川町', '美深町', '幌加内町', '留萌市', '小平町', '苫前町', '羽幌町', '初山別村', '遠別町', '滝上町', '西興部村'], ['南富良野町', '占冠村', '帯広市', '音更町', '士幌町', '上士幌町', '鹿追町', '新得町', '清水町', '芽室町', '中札内村', '更別村', '幕別町'], ['豊頃町', '浦幌町'], ['津別町', '釧路市', '釧路町', '鶴居村', '白糠町']]

trans_size=[430316, 243969, 173391, 125721, 87021, 82141, 70429, 59444, 57419, 24477, 22358, 20976, 11400]
trans_facility = ['登別市', '北斗市', '佐呂間町', '小樽市', '標茶町', '厚岸町', '中標津町', '稚内市', '滝川市', '根室市', '大樹町', '枝幸町', '池田町']
trans_blocks = [['美唄市', '赤平市', '滝川市', '砂川市', '歌志内市', '奈井江町', '上砂川町', '浦臼町', '新十津川町', '妹背牛町', '雨竜町', '北竜町', '増毛町'], ['小樽市', '共和町', '岩内町', '泊村', '神恵内村', '積丹町', '古平町', '仁木町', '余市町', '赤井川村'], ['登別市'], ['函館市', '北斗市', '松前町', '福島町', '知内町', '木古内町', '七飯町', '鹿部町', '森町', '江差町', '上ノ国町', '厚沢部町', '乙部町'], ['根室市'], ['天塩町', '稚内市', '猿払村', '豊富町', '幌延町'], ['音威子府村', '中川町', '浜頓別町', '中頓別町', '枝幸町', '興部町', '雄武町'], ['北見市', '網走市', '紋別市', '美幌町', '訓子府町', '置戸町', '佐呂間町', '遠軽町', '湧別町', '大空町'], ['浦河町', '様似町', 'えりも町', '大樹町', '広尾町'], ['池田町', '本別町', '足寄町', '陸別町'], ['厚岸町', '浜中町'], ['小清水町', '標茶町', '弟子屈町'], ['清里町', '斜里町', '別海町', '中標津町', '標津町', '羅臼町']]

arrows = [[['札幌市'], ['小樽市']], [['室蘭市'], ['登別市']], [['伊達市'], ['北斗市']], [['旭川市'], ['枝幸町', '稚内市', '滝川市', '佐呂間町']], [['帯広市'], ['大樹町', '池田町']], [['釧路市'], ['根室市', '厚岸町', '中標津町', '標茶町']]]


---------------------  エネルギー情報  ---------------------
[296240.96327664587, 517629.19019977323, -5144161.799481876, 86165.1064109589]

EL_direct: {'苫小牧市': 94030.15908677084, '釧路市': 19918.363413541672, '室蘭市': 0.0, '札幌市': 54269.73578731251, '伊達市': 51493.30871560418, '旭川市': 57817.56074141668, '帯広市': 18472.23252225, '浦幌町': 239.60300975}
ED_inc: {'苫小牧市': -1620497.7071719335, '釧路市': -1088652.779104002, '室蘭市': -751699.7916587504, '札幌市': -739845.5409990874, '伊達市': -509363.0326658874, '旭川市': -354012.17307585484, '帯広市': -89697.65894258195, '浦幌町': 9606.884136221493}

EL_indirect: {'登別市': 22552.445014112, '北斗市': 152636.9015582277, '佐呂間町': 141218.18362633584, '小樽市': 24968.969471381006, '標茶町': 22380.9423789965, '厚岸町': 20735.049800569, '中標津町': 30115.285485220003, '稚内市': 48887.84917557884, '滝川市': 14916.590879551837, '根室市': 9062.761594848, '大樹町': 12271.765363457169, '枝幸町': 14256.920732424504, '池田町': 3625.5251190708336}
ED_trans: {'登別市': 26314.118136986304, '北斗市': 14918.871452054795, '佐呂間町': 10602.978410958904, '小樽市': 7687.925260273973, '標茶町': 5321.393753424658, '厚岸町': 5022.978410958904, '中標津町': 4306.781589041097, '稚内市': 3635.041315068493, '滝川市': 3511.211178082192, '根室市': 1496.7853150684934, '大樹町': 1367.2070136986304, '枝幸町': 1282.6967671232878, '池田町': 697.1178082191781}

----------------------  輸送情報  ----------------------

direct 苫小牧市(6544/6544) t/day → receive from: 千歳市, 苫小牧市, 白老町, 厚真町, 安平町, むかわ町, 日高町, 平取町, 新冠町, 新ひだか町
direct 釧路市(3673/4396) t/day → receive from: 津別町, 釧路市, 釧路町, 鶴居村, 白糠町
indirect 釧路市(723/4396) t/day → receive from: 中継施設＝ 根室市(24477) → receive from: 根室市
厚岸町(82141) → receive from: 厚岸町, 浜中町
中標津町(70429) → receive from: 清里町, 斜里町, 別海町, 中標津町, 標津町, 羅臼町
標茶町(87021) → receive from: 小清水町, 標茶町, 弟子屈町
direct 室蘭市(1857/3036) t/day → receive from: 室蘭市
indirect 室蘭市(1179/3036) t/day → receive from: 中継施設＝ 登別市(430316) → receive from: 登別市
direct 札幌市(2643/2988) t/day → receive from: 夕張市, 岩見沢市, 三笠市, 南幌町, 由仁町, 長沼町, 栗山町, 月形町, 札幌市, 江別市, 恵庭市, 北広島市, 石狩市, 当別町, 新篠津村
indirect 札幌市(344/2988) t/day → receive from: 中継施設＝ 小樽市(125721) → receive from: 小樽市, 共和町, 岩内町, 泊村, 神恵内村, 積丹町, 古平町, 仁木町, 余市町, 赤井川村
direct 伊達市(1389/2057) t/day → receive from: 島牧村, 寿都町, 黒松内町, 蘭越町, ニセコ町, 真狩村, 留寿都村, 喜茂別町, 京極町, 俱知安町, 伊達市, 豊浦町, 壮瞥町, 洞爺湖町, 八雲町, 長万部町, 今金町, せたな町
indirect 伊達市(668/2057) t/day → receive from: 中継施設＝ 北斗市(243969) → receive from: 函館市, 北斗市, 松前町, 福島町, 知内町, 木古内町, 七飯町, 鹿部町, 森町, 江差町, 上ノ国町, 厚沢部町, 乙部町
direct 旭川市(748/1601) t/day → receive from: 芦別市, 深川市, 秩父別町, 沼田町, 旭川市, 士別市, 名寄市, 富良野市, 鷹栖町, 東神楽町, 当麻町, 比布町, 愛別町, 上川町, 東川町, 美瑛町, 上富良野町, 中富良野町, 和寒町, 剣淵町, 下川町, 美深町, 幌加内町, 留萌市, 小平町, 苫前町, 羽幌町, 初山別村, 遠別町, 滝上町, 西興部村
indirect 旭川市(853/1601) t/day → receive from: 中継施設＝ 枝幸町(20976) → receive from: 音威子府村, 中川町, 浜頓別町, 中頓別町, 枝幸町, 興部町, 雄武町
稚内市(59444) → receive from: 天塩町, 稚内市, 猿払村, 豊富町, 幌延町
滝川市(57419) → receive from: 美唄市, 赤平市, 滝川市, 砂川市, 歌志内市, 奈井江町, 上砂川町, 浦臼町, 新十津川町, 妹背牛町, 雨竜町, 北竜町, 増毛町
佐呂間町(173391) → receive from: 北見市, 網走市, 紋別市, 美幌町, 訓子府町, 置戸町, 佐呂間町, 遠軽町, 湧別町, 大空町
direct 帯広市(832/925) t/day → receive from: 南富良野町, 占冠村, 帯広市, 音更町, 士幌町, 上士幌町, 鹿追町, 新得町, 清水町, 芽室町, 中札内村, 更別村, 幕別町
indirect 帯広市(92/925) t/day → receive from: 中継施設＝ 大樹町(22358) → receive from: 浦河町, 様似町, えりも町, 大樹町, 広尾町
池田町(11400) → receive from: 池田町, 本別町, 足寄町, 陸別町
73: neval=826{'avg': -4235197.775732798, 'max': -2891804.2821290223, 'min': -4240586.8790267} best=-4240586.8790267
74: neval=830{'avg': -4239186.159881741, 'max': -3725780.5970547353, 'min': -4240586.8790267} best=-4240586.8790267
75: neval=834{'avg': -4235910.196635564, 'max': -3222186.2429174194, 'min': -4240586.8790267} best=-4240586.8790267
76: neval=847{'avg': -4236932.6418718, 'max': -3385476.961108425, 'min': -4240586.8790267} best=-4240586.8790267
77: neval=826{'avg': -4237699.287614269, 'max': -3226236.7113160696, 'min': -4240586.8790267} best=-4240586.8790267
78: neval=812{'avg': -4236162.899758586, 'max': -3248716.6784430547, 'min': -4240586.8790267} best=-4240586.8790267
79: neval=831{'avg': -4234303.000183838, 'max': -2416967.9017501054, 'min': -4240586.8790267} best=-4240586.8790267
80: neval=875{'avg': -4236421.404580453, 'max': -3160703.4107101057, 'min': -4240586.8790267} best=-4240586.8790267
81: neval=842{'avg': -4234092.4463072475, 'max': -2715415.611577021, 'min': -4240586.8790267} best=-4240586.8790267
82: neval=838{'avg': -4236873.452418322, 'max': -3345045.982875259, 'min': -4240586.8790267} best=-4240586.8790267
83: neval=851{'avg': -4236568.31346081, 'max': -3430183.711715515, 'min': -4240586.8790267} best=-4240586.8790267
84: neval=862{'avg': -4236353.088997447, 'max': -3381781.647851824, 'min': -4240586.8790267} best=-4240586.8790267
85: neval=807{'avg': -4239432.116817657, 'max': -3876767.3661576468, 'min': -4240586.8790267} best=-4240586.8790267
86: neval=836{'avg': -4238743.546527904, 'max': -3724458.380707987, 'min': -4240586.8790267} best=-4240586.8790267
87: neval=828{'avg': -4234072.3726286, 'max': -3028698.385361227, 'min': -4240586.8790267} best=-4240586.8790267
88: neval=840{'avg': -4237532.187073686, 'max': -3124011.904666888, 'min': -4240586.8790267} best=-4240586.8790267
89: neval=819{'avg': -4237606.326889117, 'max': -3621594.935743009, 'min': -4240586.8790267} best=-4240586.8790267
90: neval=811{'avg': -4238924.713956874, 'max': -3607281.605753893, 'min': -4240586.8790267} best=-4240586.8790267
91: neval=847{'avg': -4239512.287325844, 'max': -3835121.5166846705, 'min': -4240586.8790267} best=-4240586.8790267
92: neval=841{'avg': -4234774.147214535, 'max': -3240615.6917454344, 'min': -4240586.8790267} best=-4240586.8790267
93: neval=824{'avg': -4237882.629098059, 'max': -2891001.546002603, 'min': -4240586.8790267} best=-4240586.8790267
94: neval=828{'avg': -4235331.174672204, 'max': -3494523.1478833933, 'min': -4240586.8790267} best=-4240586.8790267
95: neval=831{'avg': -4236960.120421333, 'max': -2882459.0663819993, 'min': -4240586.8790267} best=-4240586.8790267
96: neval=836{'avg': -4236483.9509221595, 'max': -2754195.223822156, 'min': -4240586.8790267} best=-4240586.8790267
97: neval=829{'avg': -4239121.795861694, 'max': -3294850.2174257943, 'min': -4240586.8790267} best=-4240586.8790267
98: neval=825{'avg': -4238945.133068132, 'max': -3596501.1356916833, 'min': -4240586.8790267} best=-4240586.8790267
99: neval=844{'avg': -4238886.578228431, 'max': -3782412.751871834, 'min': -4240586.8790267} best=-4240586.8790267
