----------------------  実行情報  ----------------------
実行時間＝1190秒
個体数＝1000
合計世代数＝519
------------------------  前提  ------------------------

waste=kanen

ごみ量30位以内：
札幌市 (349353), 函館市 (66649), 旭川市 (64890), 苫小牧市 (42288), 釧路市 (38335), 帯広市 (35291), 千歳市 (25770), 小樽市 (25049), 江別市 (24906), 北見市 (20809), 室蘭市 (20448), 岩見沢市 (12638), 登別市 (11426), 北広島市 (10822), 石狩市 (9341), 音更町 (7531), 稚内市 (7127), 恵庭市 (6987), 伊達市 (6907), 網走市 (6299), 滝川市 (5831), 北斗市 (5150), 七飯町 (5008), 中標津町 (4837), 根室市 (4736), 幕別町 (4414), 新ひだか町 (4277), 釧路町 (4090), 美幌町 (4063), 白老町 (3395)

焼却施設数: 19
中継施設数: 1

輸送単価＝ 300 円/t/km
--------------------  GAPlot_input  --------------------

inc_size= [1247, 264, 243, 224, 173, 125, 121, 71, 25, 20, 19, 18, 15, 5, 4, 3, 0, 0, 0]
inc_facility = ['札幌市', '旭川市', '函館市', '苫小牧市', '帯広市', '釧路市', '室蘭市', '北見市', '中標津町', '稚内市', '紋別市', '網走市', '根室市', '枝幸町', '羽幌町', '清里町', '天塩町', '豊富町', '斜里町']
inc_blocks = [['夕張市', '岩見沢市', '美唄市', '三笠市', '南幌町', '由仁町', '長沼町', '栗山町', '月形町', '札幌市', '江別市', '恵庭市', '北広島市', '石狩市', '当別町', '新篠津村', '小樽市', '喜茂別町', '京極町', '共和町', '岩内町', '泊村', '神恵内村', '積丹町', '古平町', '仁木町', '余市町', '赤井川村'], ['島牧村', '寿都町', '黒松内町', '蘭越町', 'ニセコ町', '真狩村', '留寿都村', '俱知安町', '室蘭市', '登別市', '伊達市', '豊浦町', '壮瞥町', '洞爺湖町', '長万部町'], ['千歳市', '苫小牧市', '白老町', '厚真町', '安平町', 'むかわ町', '日高町', '平取町', '新冠町', '浦河町', '新ひだか町'], ['函館市', '北斗市', '松前町', '福島町', '知内町', '木古内町', '七飯町', '鹿部町', '森町', '八雲町', '江差町', '上ノ国町', '厚沢部町', '乙部町', '今金町', 'せたな町'], ['芦別市', '赤平市', '滝川市', '砂川市', '歌志内市', '深川市', '奈井江町', '上砂川町', '浦臼町', '新十津川町', '妹背牛町', '秩父別町', '雨竜町', '北竜町', '沼田町', '旭川市', '士別市', '名寄市', '富良野市', '鷹栖町', '東神楽町', '当麻町', '比布町', '愛別町', '上川町', '東川町', '美瑛町', '上富良野町', '中富良野町', '和寒町', '剣淵町', '幌加内町'], ['留萌市', '増毛町', '小平町', '苫前町', '羽幌町', '初山別村'], ['中川町', '遠別町', '天塩町'], ['稚内市', '猿払村'], ['美深町', '音威子府村', '浜頓別町', '中頓別町', '枝幸町'], ['豊富町', '幌延町'], ['北見市', '美幌町', '津別町', '訓子府町', '置戸町', '佐呂間町', '陸別町'], ['網走市', '大空町'], ['下川町', '紋別市', '遠軽町', '湧別町', '滝上町', '興部町', '西興部村', '雄武町'], ['清里町', '小清水町'], ['斜里町'], ['様似町', 'えりも町', '南富良野町', '占冠村', '帯広市', '音更町', '士幌町', '上士幌町', '鹿追町', '新得町', '清水町', '芽室町', '中札内村', '更別村', '大樹町', '広尾町', '幕別町', '池田町', '豊頃町', '本別町', '足寄町', '浦幌町'], ['釧路市', '釧路町', '厚岸町', '標茶町', '鶴居村', '白糖町'], ['浜中町', '根室市'], ['弟子屈町', '別海町', '中標津町', '標津町', '羅臼町']]

trans_size=[0]
trans_facility = ['豊富町']
trans_blocks = [[]]

arrows = []


---------------------  コスト情報  ---------------------

==============================
Total cost: 1241957.5762505876
==============================
TC_direct: {'札幌市': 107750.56481999999, '旭川市': 42552.619679999996, '函館市': 33495.620160000006, '苫小牧市': 48106.58742, '帯広市': 25443.31968, '釧路市': 5221.74414, '室蘭市': 20651.749350000002, '北見市': 3884.2622400000005, '中標津町': 4303.57125, '稚内市': 414.44694, '紋別市': 4728.88734, '網走市': 147.4998, '根室市': 1239.6003600000001, '枝幸町': 1045.82358, '羽幌町': 1272.45615, '清里町': 226.16403000000003, '天塩町': 29.62869, '豊富町': 11.25, '斜里町': 0.0}
IC_inc: {'札幌市': 159613.1891114947, '旭川市': 47610.12317327669, '函館市': 44807.04482740549, '苫小牧市': 42283.88188243283, '帯広市': 35003.50835214785, '釧路市': 27746.089065790613, '室蘭市': 27114.20586589729, '北見市': 18430.976284856057, '中標津町': 8650.768684366207, '稚内市': 7480.976141758512, '紋別市': 7200.832989673019, '網走市': 6874.331429870022, '根室市': 5977.738680892802, '枝幸町': 2864.8282273605105, '羽幌町': 2343.3210783489885, '清里町': 1692.3279700197322, '天塩町': 240.53935274588486, '豊富町': 223.79345071050665, '斜里町': 0.0}
OC_inc: {'札幌市': 66833.21738291832, '旭川市': 56964.87608199606, '函館市': 56407.36772522112, '苫小牧市': 55611.63687040698, '帯広市': 51724.01573343067, '釧路市': 45433.20587338103, '室蘭市': 44768.76962017755, '北見市': 33706.6804923292, '中標津町': 16951.74467757078, '稚内市': 14666.030284542983, '紋別市': 14111.180441229597, '網走市': 13461.115817412458, '根室市': 11658.634045924002, '枝幸町': 5283.8584016245995, '羽幌町': 4222.047478362802, '清里町': 2918.6885183885533, '天塩町': 287.25227583165207, '豊富町': 262.9823307915868, '斜里町': 0.0}

TC_indirect: {'豊富町': 0}
IC_trans: {'豊富町': 0}
OC_trans: {'豊富町': 0}


----------------------  輸送情報  ----------------------

direct 札幌市(1247/1247) t/day → receive from: 夕張市, 岩見沢市, 美唄市, 三笠市, 南幌町, 由仁町, 長沼町, 栗山町, 月形町, 札幌市, 江別市, 恵庭市, 北広島市, 石狩市, 当別町, 新篠津村, 小樽市, 喜茂別町, 京極町, 共和町, 岩内町, 泊村, 神恵内村, 積丹町, 古平町, 仁木町, 余市町, 赤井川村
direct 旭川市(264/264) t/day → receive from: 芦別市, 赤平市, 滝川市, 砂川市, 歌志内市, 深川市, 奈井江町, 上砂川町, 浦臼町, 新十津川町, 妹背牛町, 秩父別町, 雨竜町, 北竜町, 沼田町, 旭川市, 士別市, 名寄市, 富良野市, 鷹栖町, 東神楽町, 当麻町, 比布町, 愛別町, 上川町, 東川町, 美瑛町, 上富良野町, 中富良野町, 和寒町, 剣淵町, 幌加内町
direct 函館市(243/243) t/day → receive from: 函館市, 北斗市, 松前町, 福島町, 知内町, 木古内町, 七飯町, 鹿部町, 森町, 八雲町, 江差町, 上ノ国町, 厚沢部町, 乙部町, 今金町, せたな町
direct 苫小牧市(224/224) t/day → receive from: 千歳市, 苫小牧市, 白老町, 厚真町, 安平町, むかわ町, 日高町, 平取町, 新冠町, 浦河町, 新ひだか町
direct 帯広市(173/173) t/day → receive from: 様似町, えりも町, 南富良野町, 占冠村, 帯広市, 音更町, 士幌町, 上士幌町, 鹿追町, 新得町, 清水町, 芽室町, 中札内村, 更別村, 大樹町, 広尾町, 幕別町, 池田町, 豊頃町, 本別町, 足寄町, 浦幌町
direct 釧路市(125/125) t/day → receive from: 釧路市, 釧路町, 厚岸町, 標茶町, 鶴居村, 白糖町
direct 室蘭市(121/121) t/day → receive from: 島牧村, 寿都町, 黒松内町, 蘭越町, ニセコ町, 真狩村, 留寿都村, 俱知安町, 室蘭市, 登別市, 伊達市, 豊浦町, 壮瞥町, 洞爺湖町, 長万部町
direct 北見市(71/71) t/day → receive from: 北見市, 美幌町, 津別町, 訓子府町, 置戸町, 佐呂間町, 陸別町
direct 中標津町(25/25) t/day → receive from: 弟子屈町, 別海町, 中標津町, 標津町, 羅臼町
direct 稚内市(20/20) t/day → receive from: 稚内市, 猿払村
direct 紋別市(19/19) t/day → receive from: 下川町, 紋別市, 遠軽町, 湧別町, 滝上町, 興部町, 西興部村, 雄武町
direct 網走市(18/18) t/day → receive from: 網走市, 大空町
direct 根室市(15/15) t/day → receive from: 浜中町, 根室市
direct 枝幸町(5/5) t/day → receive from: 美深町, 音威子府村, 浜頓別町, 中頓別町, 枝幸町
direct 羽幌町(4/4) t/day → receive from: 留萌市, 増毛町, 小平町, 苫前町, 羽幌町, 初山別村
direct 清里町(3/3) t/day → receive from: 清里町, 小清水町
67: neval=776{'avg': 1248706.9071790238, 'max': 1527769.773526032, 'min': 1247808.223367418} best=1247808.223367418
68: neval=774{'avg': 1250531.3185934434, 'max': 1859532.1879869902, 'min': 1247808.223367418} best=1247808.223367418
69: neval=781{'avg': 1248986.7332630432, 'max': 1577569.0427926076, 'min': 1247808.223367418} best=1247808.223367418
70: neval=804{'avg': 1249169.8821967486, 'max': 1574480.4191366765, 'min': 1245009.870238226} best=1245009.870238226
71: neval=804{'avg': 1250836.7016116208, 'max': 2073358.6600784266, 'min': 1247808.223367418} best=1245009.870238226
72: neval=792{'avg': 1250051.9954510417, 'max': 1747886.5560634045, 'min': 1247808.223367418} best=1245009.870238226
73: neval=813{'avg': 1250023.882561991, 'max': 1939468.8056631815, 'min': 1247808.223367418} best=1245009.870238226
74: neval=814{'avg': 1250806.1748513798, 'max': 2071349.8891608338, 'min': 1247808.223367418} best=1245009.870238226
75: neval=793{'avg': 1248628.676869517, 'max': 1549823.7936044303, 'min': 1247808.223367418} best=1245009.870238226
76: neval=793{'avg': 1248704.076579566, 'max': 1520634.0194534636, 'min': 1247808.223367418} best=1245009.870238226
77: neval=802{'avg': 1249960.031502772, 'max': 1562619.8315232657, 'min': 1247093.8132023122} best=1245009.870238226
78: neval=792{'avg': 1248866.228751846, 'max': 1633435.6611953205, 'min': 1247093.8132023122} best=1245009.870238226
79: neval=787{'avg': 1248823.883490673, 'max': 1440188.1683557935, 'min': 1247093.8132023122} best=1245009.870238226
80: neval=813{'avg': 1249981.8292687717, 'max': 1736385.1690590563, 'min': 1247093.8132023122} best=1245009.870238226
81: neval=783{'avg': 1248809.458543243, 'max': 1493819.44530654, 'min': 1245620.7322089765} best=1245009.870238226
82: neval=793{'avg': 1249021.2338634848, 'max': 1708020.755486395, 'min': 1245620.7322089765} best=1245009.870238226
83: neval=790{'avg': 1249165.460500535, 'max': 1567739.8773431627, 'min': 1245620.7322089765} best=1245009.870238226
84: neval=791{'avg': 1248571.2102214748, 'max': 1536951.7805734547, 'min': 1245620.7322089765} best=1245009.870238226
85: neval=767{'avg': 1248183.8997545927, 'max': 1712332.0167934413, 'min': 1245620.7322089765} best=1245009.870238226
86: neval=791{'avg': 1248016.783684883, 'max': 1713591.7180685475, 'min': 1245620.7322089765} best=1245009.870238226
87: neval=801{'avg': 1247377.8898004834, 'max': 1818674.0469637762, 'min': 1245620.7322089765} best=1245009.870238226
88: neval=780{'avg': 1245987.643211705, 'max': 1472658.3545129006, 'min': 1245620.7322089765} best=1245009.870238226
89: neval=758{'avg': 1246706.9153657763, 'max': 1494083.2102992653, 'min': 1245620.7322089765} best=1245009.870238226
90: neval=805{'avg': 1246856.5598710056, 'max': 1451250.691499439, 'min': 1245620.7322089765} best=1245009.870238226
91: neval=805{'avg': 1247146.1848557387, 'max': 1867372.8221565252, 'min': 1245620.7322089765} best=1245009.870238226
92: neval=793{'avg': 1246368.1065387335, 'max': 1524824.4012916607, 'min': 1245620.7322089765} best=1245009.870238226
93: neval=797{'avg': 1246701.0919840266, 'max': 1455128.5599692604, 'min': 1245620.7322089765} best=1245009.870238226
94: neval=798{'avg': 1246118.0083836378, 'max': 1400657.194443846, 'min': 1245620.7322089765} best=1245009.870238226
95: neval=778{'avg': 1246230.181737497, 'max': 1506789.6894792384, 'min': 1245620.7322089765} best=1245009.870238226
96: neval=760{'avg': 1246912.1118159126, 'max': 1570442.0474001125, 'min': 1245620.7322089765} best=1245009.870238226
97: neval=773{'avg': 1247152.8545806527, 'max': 1586742.381045118, 'min': 1245620.7322089765} best=1245009.870238226
98: neval=794{'avg': 1247313.7111519403, 'max': 1599867.6324471673, 'min': 1245620.7322089765} best=1245009.870238226
99: neval=788{'avg': 1246265.8676307425, 'max': 1411629.4704296263, 'min': 1245620.7322089765} best=1245009.870238226
100: neval=808{'avg': 1247780.8961108048, 'max': 1737607.476730913, 'min': 1245620.7322089765} best=1245009.870238226
101: neval=779{'avg': 1246090.4221415939, 'max': 1371142.618268646, 'min': 1245620.7322089765} best=1245009.870238226
102: neval=757{'avg': 1246595.2986529907, 'max': 1445763.8089956793, 'min': 1245620.7322089765} best=1245009.870238226
103: neval=792{'avg': 1246694.246867091, 'max': 1805059.0549630176, 'min': 1245620.7322089765} best=1245009.870238226
104: neval=804{'avg': 1246138.6492849626, 'max': 1504670.445879986, 'min': 1245620.7322089765} best=1245009.870238226
105: neval=782{'avg': 1246575.2127826964, 'max': 1466365.5595006444, 'min': 1245620.7322089765} best=1245009.870238226
106: neval=788{'avg': 1247150.1459137194, 'max': 1473064.0435158499, 'min': 1245620.7322089765} best=1245009.870238226
107: neval=799{'avg': 1246287.7308384425, 'max': 1386899.9667180495, 'min': 1245620.7322089765} best=1245009.870238226
108: neval=804{'avg': 1246838.0607986508, 'max': 1491981.6946637637, 'min': 1245620.7322089765} best=1245009.870238226
109: neval=782{'avg': 1248454.1932957189, 'max': 1618763.8302791803, 'min': 1245620.7322089765} best=1245009.870238226
110: neval=821{'avg': 1246506.748410223, 'max': 1778895.5142730896, 'min': 1245620.7322089765} best=1245009.870238226
111: neval=816{'avg': 1247561.393803415, 'max': 2026366.956162645, 'min': 1245620.7322089765} best=1245009.870238226
112: neval=802{'avg': 1246415.9968241213, 'max': 1490585.5822463885, 'min': 1245620.7322089765} best=1245009.870238226
113: neval=784{'avg': 1246426.8919117423, 'max': 1489793.8965402492, 'min': 1245620.7322089765} best=1245009.870238226
114: neval=796{'avg': 1246725.6336594725, 'max': 1716739.288881473, 'min': 1245620.7322089765} best=1245009.870238226
115: neval=774{'avg': 1246185.3748873926, 'max': 1547664.7757602434, 'min': 1245620.7322089765} best=1245009.870238226
116: neval=787{'avg': 1247417.0263195778, 'max': 1761237.526983083, 'min': 1245620.7322089765} best=1245009.870238226
117: neval=790{'avg': 1246438.7430549779, 'max': 1506905.2302798303, 'min': 1245620.7322089765} best=1245009.870238226
118: neval=791{'avg': 1246570.5052932391, 'max': 1677301.9377382044, 'min': 1245620.7322089765} best=1245009.870238226
119: neval=778{'avg': 1247339.480035758, 'max': 1535160.5130145857, 'min': 1245620.7322089765} best=1245009.870238226
120: neval=769{'avg': 1247343.1680473285, 'max': 1630277.0906468953, 'min': 1245620.7322089765} best=1245009.870238226
121: neval=752{'avg': 1246819.1012109646, 'max': 1626019.594157406, 'min': 1245620.7322089765} best=1245009.870238226
122: neval=805{'avg': 1247158.610489072, 'max': 1490729.9095536526, 'min': 1245620.7322089765} best=1245009.870238226
123: neval=823{'avg': 1247073.6353050603, 'max': 1706046.3404405618, 'min': 1245620.7322089765} best=1245009.870238226
124: neval=795{'avg': 1247014.4510317403, 'max': 1546135.8495589946, 'min': 1245620.7322089765} best=1245009.870238226
125: neval=796{'avg': 1247069.0015175499, 'max': 1505918.2612056946, 'min': 1245620.7322089765} best=1245009.870238226
126: neval=766{'avg': 1247543.0986384654, 'max': 1684563.4987733348, 'min': 1245620.7322089765} best=1245009.870238226
127: neval=795{'avg': 1247107.3323331259, 'max': 1533209.6572737978, 'min': 1245620.7322089765} best=1245009.870238226
128: neval=796{'avg': 1247019.948800941, 'max': 1488755.7025340688, 'min': 1245620.7322089765} best=1245009.870238226
129: neval=770{'avg': 1246636.5918554624, 'max': 1564342.87129313, 'min': 1245620.7322089765} best=1245009.870238226
130: neval=808{'avg': 1246527.0200232456, 'max': 1477458.8023534154, 'min': 1245620.7322089765} best=1245009.870238226
131: neval=811{'avg': 1246148.1473931829, 'max': 1475895.8589308765, 'min': 1245620.7322089765} best=1245009.870238226
132: neval=782{'avg': 1246098.646645517, 'max': 1431513.1227096478, 'min': 1245620.7322089765} best=1245009.870238226
133: neval=799{'avg': 1246595.1374364337, 'max': 1485819.638930438, 'min': 1245620.7322089765} best=1245009.870238226
134: neval=825{'avg': 1249871.1484428796, 'max': 1970040.413416697, 'min': 1245620.7322089765} best=1245009.870238226
135: neval=764{'avg': 1247123.1296948376, 'max': 1556033.5577527615, 'min': 1245620.7322089765} best=1245009.870238226
136: neval=769{'avg': 1246009.7258324027, 'max': 1379105.0182990225, 'min': 1245620.7322089765} best=1245009.870238226
137: neval=771{'avg': 1246510.5801026607, 'max': 1567745.714823216, 'min': 1245620.7322089765} best=1245009.870238226
138: neval=792{'avg': 1247080.3841146461, 'max': 1458670.6989049828, 'min': 1245620.7322089765} best=1245009.870238226
139: neval=794{'avg': 1247567.7319558354, 'max': 1771077.989815885, 'min': 1245620.7322089765} best=1245009.870238226
140: neval=786{'avg': 1246600.7801147553, 'max': 1486839.3164851419, 'min': 1245620.7322089765} best=1245009.870238226
141: neval=804{'avg': 1247940.8802083842, 'max': 1753535.7709285228, 'min': 1245620.7322089765} best=1245009.870238226
142: neval=774{'avg': 1247194.6691104914, 'max': 1717186.0039737867, 'min': 1245620.7322089765} best=1245009.870238226
143: neval=784{'avg': 1246706.2095033426, 'max': 1601307.0095030086, 'min': 1245620.7322089765} best=1245009.870238226
144: neval=784{'avg': 1245748.771879758, 'max': 1318338.2465735571, 'min': 1245620.7322089765} best=1245009.870238226
145: neval=782{'avg': 1246894.4786546621, 'max': 1450348.833777113, 'min': 1245620.7322089765} best=1245009.870238226
146: neval=803{'avg': 1247448.748267848, 'max': 1569136.9869939364, 'min': 1245620.7322089765} best=1245009.870238226
147: neval=794{'avg': 1247675.3155551187, 'max': 1564059.1636760351, 'min': 1245620.7322089765} best=1245009.870238226
148: neval=764{'avg': 1248184.2404309078, 'max': 1684746.805110869, 'min': 1245620.7322089765} best=1245009.870238226
149: neval=776{'avg': 1248097.3185331826, 'max': 1518587.5701474387, 'min': 1245620.7322089765} best=1245009.870238226
150: neval=786{'avg': 1246993.0832234358, 'max': 1530487.151699139, 'min': 1245620.7322089765} best=1245009.870238226
151: neval=792{'avg': 1246821.8230567828, 'max': 1597583.7572483802, 'min': 1245620.7322089765} best=1245009.870238226
152: neval=780{'avg': 1246142.7204974752, 'max': 1375996.6519751889, 'min': 1245620.7322089765} best=1245009.870238226
153: neval=799{'avg': 1247730.039261765, 'max': 1615142.7360902035, 'min': 1245620.7322089765} best=1245009.870238226
154: neval=773{'avg': 1246866.6056225558, 'max': 1754704.2244571485, 'min': 1245620.7322089765} best=1245009.870238226
155: neval=775{'avg': 1248016.400353154, 'max': 1818283.1085355792, 'min': 1245620.7322089765} best=1245009.870238226
156: neval=803{'avg': 1246283.5868991741, 'max': 1472118.4103259877, 'min': 1245620.7322089765} best=1245009.870238226
157: neval=808{'avg': 1246317.2828145088, 'max': 1481985.5089902193, 'min': 1245620.7322089765} best=1245009.870238226
158: neval=787{'avg': 1246806.920486249, 'max': 1517441.2275922182, 'min': 1245620.7322089765} best=1245009.870238226
159: neval=792{'avg': 1247096.6446458122, 'max': 1571824.1093520569, 'min': 1245620.7322089765} best=1245009.870238226
160: neval=776{'avg': 1247582.2916095962, 'max': 1742274.5357553775, 'min': 1245620.7322089765} best=1245009.870238226
161: neval=783{'avg': 1247250.5878470459, 'max': 1500033.5565259953, 'min': 1245620.7322089765} best=1245009.870238226
162: neval=796{'avg': 1246473.526863787, 'max': 1474022.7163641434, 'min': 1245620.7322089765} best=1245009.870238226
163: neval=796{'avg': 1247829.0150298085, 'max': 1797643.44503727, 'min': 1245620.7322089765} best=1245009.870238226
164: neval=768{'avg': 1247411.6574212103, 'max': 1613909.3378274867, 'min': 1245620.7322089765} best=1245009.870238226
165: neval=779{'avg': 1246128.8596047927, 'max': 1451060.8876553115, 'min': 1245620.7322089765} best=1245009.870238226
166: neval=794{'avg': 1246975.290472189, 'max': 1540928.0691997302, 'min': 1245620.7322089765} best=1245009.870238226
167: neval=795{'avg': 1246438.2934961417, 'max': 1895498.0938603058, 'min': 1245620.7322089765} best=1245009.870238226
168: neval=771{'avg': 1248184.1102560945, 'max': 1842433.2540320996, 'min': 1245620.7322089765} best=1245009.870238226
169: neval=805{'avg': 1247679.5910753922, 'max': 1527061.61291759, 'min': 1245620.7322089765} best=1245009.870238226
170: neval=815{'avg': 1246550.5647359663, 'max': 1578449.6661200568, 'min': 1245620.7322089765} best=1245009.870238226
171: neval=786{'avg': 1247434.6907893708, 'max': 1627396.2379689424, 'min': 1245620.7322089765} best=1245009.870238226
172: neval=773{'avg': 1246608.2827942267, 'max': 1805536.865606094, 'min': 1245620.7322089765} best=1245009.870238226
173: neval=819{'avg': 1246850.2215704832, 'max': 1759689.830420761, 'min': 1245620.7322089765} best=1245009.870238226
174: neval=786{'avg': 1246217.976595309, 'max': 1481560.5214829068, 'min': 1245620.7322089765} best=1245009.870238226
175: neval=789{'avg': 1246317.0242820971, 'max': 1609707.793511971, 'min': 1245620.7322089765} best=1245009.870238226
176: neval=798{'avg': 1247162.370815215, 'max': 1715093.9105829275, 'min': 1245620.7322089765} best=1245009.870238226
177: neval=795{'avg': 1247333.9705804742, 'max': 1522858.1957120397, 'min': 1245620.7322089765} best=1245009.870238226
178: neval=769{'avg': 1246658.0128185877, 'max': 1636768.5709194439, 'min': 1245620.7322089765} best=1245009.870238226
179: neval=779{'avg': 1246831.436919681, 'max': 1707573.9410642479, 'min': 1245620.7322089765} best=1245009.870238226
180: neval=824{'avg': 1247685.8985143644, 'max': 1621693.7949755543, 'min': 1245620.7322089765} best=1245009.870238226
181: neval=795{'avg': 1247029.963197581, 'max': 1538473.7276894965, 'min': 1245620.7322089765} best=1245009.870238226
182: neval=784{'avg': 1246320.3855691252, 'max': 1597352.001747999, 'min': 1245620.7322089765} best=1245009.870238226
183: neval=803{'avg': 1246838.2512400278, 'max': 1775772.3478407636, 'min': 1245620.7322089765} best=1245009.870238226
184: neval=794{'avg': 1246859.515052422, 'max': 1522811.5678290972, 'min': 1245620.7322089765} best=1245009.870238226
185: neval=782{'avg': 1247010.3436030787, 'max': 1622331.1321137836, 'min': 1245620.7322089765} best=1245009.870238226
186: neval=796{'avg': 1247534.4711020763, 'max': 1723467.0288291825, 'min': 1245620.7322089765} best=1245009.870238226
187: neval=779{'avg': 1246956.4509937186, 'max': 1536876.252581616, 'min': 1245620.7322089765} best=1245009.870238226
188: neval=786{'avg': 1246603.370056273, 'max': 1556336.1290107796, 'min': 1245620.7322089765} best=1245009.870238226
189: neval=783{'avg': 1246155.9540842276, 'max': 1468480.026534168, 'min': 1245620.7322089765} best=1245009.870238226
190: neval=809{'avg': 1246718.1912115044, 'max': 1590170.6116246926, 'min': 1245620.7322089765} best=1245009.870238226
191: neval=824{'avg': 1246834.8942113777, 'max': 1510851.8971936484, 'min': 1245620.7322089765} best=1245009.870238226
192: neval=798{'avg': 1248223.0583395779, 'max': 1707549.7099241319, 'min': 1245620.7322089765} best=1245009.870238226
193: neval=788{'avg': 1246721.6320103698, 'max': 1633667.4036846801, 'min': 1245620.7322089765} best=1245009.870238226
194: neval=808{'avg': 1248579.8192240314, 'max': 1685319.0405147073, 'min': 1245620.7322089765} best=1245009.870238226
195: neval=806{'avg': 1247144.0043813954, 'max': 1685000.946369008, 'min': 1245620.7322089765} best=1245009.870238226
196: neval=792{'avg': 1246523.7105322564, 'max': 1560619.5760812534, 'min': 1245620.7322089765} best=1245009.870238226
197: neval=803{'avg': 1246542.9357987463, 'max': 1452541.212420916, 'min': 1245620.7322089765} best=1245009.870238226
198: neval=793{'avg': 1246571.3193789031, 'max': 1672001.8290831118, 'min': 1245620.7322089765} best=1245009.870238226
199: neval=778{'avg': 1246677.3993710652, 'max': 1478132.2034687935, 'min': 1245620.7322089765} best=1245009.870238226
200: neval=799{'avg': 1247574.876196876, 'max': 1523599.4573345229, 'min': 1245620.7322089765} best=1245009.870238226
201: neval=809{'avg': 1246400.08285073, 'max': 1444967.763070492, 'min': 1245620.7322089765} best=1245009.870238226
202: neval=804{'avg': 1245860.2593404918, 'max': 1409417.3648122507, 'min': 1245620.7322089765} best=1245009.870238226
203: neval=768{'avg': 1246737.9987841446, 'max': 1467346.9330204031, 'min': 1245620.7322089765} best=1245009.870238226
204: neval=792{'avg': 1246650.845228984, 'max': 1487268.7894986763, 'min': 1245620.7322089765} best=1245009.870238226
205: neval=812{'avg': 1247183.170457156, 'max': 1535021.371783355, 'min': 1245620.7322089765} best=1245009.870238226
206: neval=792{'avg': 1246607.1212967206, 'max': 1452205.0577036953, 'min': 1245620.7322089765} best=1245009.870238226
207: neval=800{'avg': 1246528.068869709, 'max': 1540917.4663350042, 'min': 1242822.3790797843} best=1242822.3790797843
208: neval=755{'avg': 1246123.1680530487, 'max': 1533757.095021667, 'min': 1245620.7322089765} best=1242822.3790797843
209: neval=787{'avg': 1246882.641547247, 'max': 1661720.5985358781, 'min': 1245620.7322089765} best=1242822.3790797843
210: neval=786{'avg': 1247081.3180570323, 'max': 1581090.6478104074, 'min': 1245620.7322089765} best=1242822.3790797843
211: neval=776{'avg': 1246522.9399143192, 'max': 1423503.9111280604, 'min': 1245620.7322089765} best=1242822.3790797843
212: neval=805{'avg': 1246699.9618455218, 'max': 1632497.6155519052, 'min': 1245620.7322089765} best=1242822.3790797843
213: neval=835{'avg': 1247469.8046762554, 'max': 1646041.4960961645, 'min': 1245620.7322089765} best=1242822.3790797843
214: neval=804{'avg': 1247720.6820509876, 'max': 1712523.5449053757, 'min': 1245620.7322089765} best=1242822.3790797843
215: neval=772{'avg': 1247574.4534294987, 'max': 1666500.3313251717, 'min': 1245620.7322089765} best=1242822.3790797843
216: neval=787{'avg': 1247422.0736207194, 'max': 1801646.3030572436, 'min': 1245620.7322089765} best=1242822.3790797843
217: neval=830{'avg': 1245981.5804480573, 'max': 1389141.31155356, 'min': 1245620.7322089765} best=1242822.3790797843
218: neval=778{'avg': 1246004.5422772078, 'max': 1459775.0511598452, 'min': 1245620.7322089765} best=1242822.3790797843
219: neval=799{'avg': 1247278.3635169996, 'max': 1596907.7844699114, 'min': 1245620.7322089765} best=1242822.3790797843
220: neval=795{'avg': 1247765.502277515, 'max': 1596907.7844699114, 'min': 1245620.7322089765} best=1242822.3790797843
221: neval=817{'avg': 1246730.1875003397, 'max': 1714043.9240614926, 'min': 1245620.7322089765} best=1242822.3790797843
222: neval=777{'avg': 1246435.205722323, 'max': 1550137.5232240183, 'min': 1245620.7322089765} best=1242822.3790797843
223: neval=788{'avg': 1247054.565358294, 'max': 1510135.676230113, 'min': 1245620.7322089765} best=1242822.3790797843
224: neval=783{'avg': 1246950.07424367, 'max': 1648332.4686915716, 'min': 1245620.7322089765} best=1242822.3790797843
225: neval=761{'avg': 1246428.919597168, 'max': 1505288.9446706385, 'min': 1245620.7322089765} best=1242822.3790797843
226: neval=794{'avg': 1246799.3906254263, 'max': 1883543.4348017585, 'min': 1245620.7322089765} best=1242822.3790797843
227: neval=779{'avg': 1247779.725539103, 'max': 1768760.4632019831, 'min': 1245620.7322089765} best=1242822.3790797843
228: neval=779{'avg': 1247043.2771448297, 'max': 1461484.724737452, 'min': 1245620.7322089765} best=1242822.3790797843
229: neval=756{'avg': 1247897.2260078718, 'max': 1638985.4463401218, 'min': 1245620.7322089765} best=1242822.3790797843
230: neval=778{'avg': 1246792.9398102022, 'max': 1494797.9026524231, 'min': 1245620.7322089765} best=1242822.3790797843
231: neval=780{'avg': 1246900.803494946, 'max': 1552459.4628528794, 'min': 1245620.7322089765} best=1242822.3790797843
232: neval=787{'avg': 1247101.8020448931, 'max': 1492848.0692522626, 'min': 1245620.7322089765} best=1242822.3790797843
233: neval=817{'avg': 1247481.994545775, 'max': 1534577.6166231139, 'min': 1245620.7322089765} best=1242822.3790797843
234: neval=786{'avg': 1246989.7254722128, 'max': 1525617.0991918826, 'min': 1245620.7322089765} best=1242822.3790797843
235: neval=801{'avg': 1246734.6396351883, 'max': 1764488.564412658, 'min': 1244755.9293797796} best=1242822.3790797843
